angle,Velocidade,Tempo
198,-22.02,20.06
201,-22.71,20.09
201,-22.71,20.09
205,-20.83,20.13
205,-20.83,20.13
211,-22.26,20.17
211,-22.26,20.17
215,-20.70,20.20
215,-20.70,20.20
218,-22.00,20.24
218,-22.00,20.24
223,-20.28,20.27
223,-20.28,20.27
227,-21.68,20.31
227,-21.68,20.31
230,-22.26,20.34
230,-22.26,20.34
237,-22.10,20.37
237,-22.10,20.37
240,-21.93,20.41
240,-21.93,20.41
244,-21.66,20.44
244,-21.66,20.44
248,-23.72,20.48
248,-23.72,20.48
253,-22.08,20.51
253,-22.08,20.51
257,-23.35,20.55
257,-23.35,20.55
263,-22.10,20.58
263,-22.10,20.58
267,-24.01,20.62
267,-24.01,20.62
271,-22.37,20.66
271,-22.37,20.66
276,-23.77,200.69
276,-23.77,200.69
0,0.73,0.73
0,0.73,0.73
284,-23.78,20.76
284,-23.78,20.76
291,-22.95,20.80
291,-22.95,20.80
295,-24.39,20.83
295,-24.39,20.83
299,-23.86,20.86
299,-23.86,20.86
305,-22.96,20.90
305,-22.96,20.90
309,-24.30,20.93
309,-24.30,20.93
313,-21.83,20.97
313,-21.83,20.97
319,-23.81,21.00
319,-23.81,21.00
323,-23.17,21.04
323,-23.17,21.04
327,-24.30,21.08
327,-24.30,21.08
332,-23.14,21.11
332,-23.14,21.11
336,-23.93,21.15
336,-23.93,21.15
340,-22.00,21.18
340,-22.00,21.18
347,-22.53,21.22
347,-22.53,21.22
350,-22.58,21.25
350,-22.58,21.25
354,-23.68,21.28
354,-23.68,21.28
0,-23.09,210.00
0,-23.09,210.00
35,35.00,35.00
35,35.00,35.00
8,-22.26,210.39
8,-22.26,210.39
12,-23.16,21.42
12,-23.16,21.42
17,-22.68,21.45
17,-22.68,21.45
22,-23.08,21.49
22,-23.08,21.49
26,-21.85,21.52
26,-21.85,21.52
31,-22.71,21.56
31,-22.71,21.56
36,-21.56,21.59
36,-21.56,21.59
40,-23.10,21.62
40,-23.10,21.62
44,-22.19,21.66
44,-22.19,21.66
52,-22.45,21.69
52,-22.45,21.69
56,-23.60,21.73
56,-23.60,21.73
61,-23.32,21.76
61,-23.32,21.76
65,-23.39,21.79
65,-23.39,21.79
71,-22.53,21.83
71,-22.53,21.83
76,-25.35,21.86
76,-25.35,21.86
81,-25.22,21.90
81,-25.22,21.90
86,-25.59,21.93
86,-25.59,21.93
95,-26.12,21.96
95,-26.12,21.96
95,-26.12,21.96
0,0.00,0.00
0,0.00,0.00
105,-26.35,22.03
105,-26.35,22.03
112,-26.17,22.07
112,-26.17,22.07
117,-26.36,22.10
117,-26.36,22.10
122,-27.05,22.14
122,-27.05,22.14
131,-26.44,22.17
131,-26.44,22.17
136,-26.54,22.21
136,-26.54,22.21
141,-27.35,22.24
141,-27.35,22.24
148,-26.90,22.28
148,-26.90,22.28
153,-26.24,22.31
153,-26.24,22.31
158,-28.07,22.35
158,-28.07,22.35
166,-27.60,22.38
166,-27.60,22.38
171,-26.85,22.42
171,-26.85,22.42
176,-28.45,22.45
176,-28.45,22.45
182,-27.52,22.49
182,-27.52,22.49
187,-27.51,22.52
187,-27.51,22.52
192,-28.80,22.56
192,-28.80,22.56
197,-27.10,202.59
197,-27.10,202.59
0,0.63,0.63
0,0.63,0.63
210,-29.39,22.66
210,-29.39,22.66
217,-29.10,22.70
217,-29.10,22.70
222,-29.20,22.73
222,-29.20,22.73
229,-29.24,22.77
229,-29.24,22.77
236,-28.75,22.80
236,-28.75,22.80
241,-29.54,22.84
241,-29.54,22.84
246,-28.32,22.87
246,-28.32,22.87
251,-29.67,22.91
251,-29.67,22.91
258,-30.79,22.94
258,-30.79,22.94
265,-28.92,22.98
265,-28.92,22.98
269,-30.19,23.01
269,-30.19,23.01
278,-31.32,23.05
278,-31.32,23.05
284,-29.31,23.08
284,-29.31,23.08
289,-30.31,23.12
289,-30.31,23.12
298,-30.60,23.15
298,-30.60,23.15
304,-31.01,23.19
304,-31.01,23.19
309,-31.95,23.22
309,-31.95,23.22
316,-29.84,23.26
316,-29.84,23.26
322,-30.52,203.29
322,-30.52,203.29
0,0.33,0.33
0,0.33,0.33
336,-29.51,23.36
336,-29.51,23.36
341,-28.99,23.40
341,-28.99,23.40
346,-29.97,23.43
346,-29.97,23.43
353,-29.87,23.47
353,-29.87,23.47
358,-30.20,23.50
358,-30.20,23.50
4,-31.09,23.54
4,-31.09,23.54
9,-29.91,23.57
9,-29.91,23.57
18,-29.42,23.60
18,-29.42,23.60
23,-30.91,23.64
23,-30.91,23.64
28,-30.03,23.67
28,-30.03,23.67
34,-29.82,23.70
34,-29.82,23.70
41,-31.76,23.74
41,-31.76,23.74
47,-31.16,23.77
47,-31.16,23.77
47,-31.16,23.77
0,0.00,0.00
0,0.00,0.00
58,-31.26,23.84
58,-31.26,23.84
68,-31.24,23.87
68,-31.24,23.87
74,-29.40,23.91
74,-29.40,23.91
80,-31.60,23.94
80,-31.60,23.94
88,-31.84,23.98
88,-31.84,23.98
96,-29.96,24.01
96,-29.96,24.01
100,-30.32,24.05
